iter	Quantile:alpha=0.9
0	44.97441647
1	41.3376297
2	37.83362409
3	34.89605861
4	32.06475205
5	29.60461012
6	27.10588905
7	25.00633205
8	23.05759543
9	21.33893431
10	19.82169298
11	18.38289658
12	17.20588801
13	16.05040483
14	15.02820449
15	14.12075623
16	13.34668079
17	12.59319909
18	11.92411869
19	11.32703116
20	10.77466548
21	10.27544077
22	9.830184113
23	9.430500824
24	9.06166173
25	8.757451083
26	8.487701763
27	8.227956415
28	8.011516681
29	7.812590945
30	7.63260314
31	7.476063076
32	7.332067247
33	7.159051065
34	7.057512776
35	6.950879805
36	6.831723998
37	6.753534389
38	6.679536556
39	6.589533491
40	6.530293285
41	6.466360279
42	6.403255497
43	6.359789013
44	6.303811497
45	6.257368762
46	6.221808984
47	6.195853716
48	6.17073111
49	6.149700289
50	6.110228021
51	6.067052428
52	6.050374923
53	6.031413371
54	6.016174136
55	6.004859387
56	5.995135087
57	5.979122067
58	5.971252047
59	5.94668103
60	5.93996384
61	5.93332549
62	5.926626383
63	5.896145863
64	5.885301652
65	5.879675009
66	5.875920705
67	5.872282089
68	5.867521142
69	5.864959162
70	5.856889236
71	5.851487365
72	5.845626268
73	5.830719111
74	5.82915879
75	5.826516533
76	5.821380377
77	5.820230001
78	5.819273267
79	5.813418779
80	5.81232605
81	5.808957552
82	5.80656215
83	5.805867019
84	5.805189277
85	5.803955685
86	5.798604397
87	5.786285994
88	5.785235752
89	5.784455678
90	5.783528499
91	5.782777713
92	5.782297228
93	5.78166654
94	5.781147626
95	5.780677947
96	5.780423789
97	5.780027862
98	5.779617098
99	5.779240601
100	5.778876279
101	5.77852475
102	5.778264937
103	5.778035721
104	5.77773552
105	5.777549812
106	5.777299829
107	5.777055092
108	5.77684823
109	5.776697595
110	5.776588382
111	5.776429992
112	5.776312038
113	5.776201931
114	5.77607576
115	5.775947327
116	5.775839329
117	5.775681556
118	5.775620396
119	5.775533696
120	5.775456768
121	5.775379976
122	5.775309578
123	5.775243196
124	5.775179617
125	5.775138477
126	5.775054598
127	5.775002784
128	5.77495644
129	5.774904785
130	5.774649453
131	5.774611566
132	5.774577448
133	5.770000727
134	5.769974436
135	5.769685396
136	5.769665133
137	5.769621186
138	5.769588694
139	5.769567586
140	5.769561808
141	5.769492509
142	5.769420913
143	5.769411789
144	5.769401636
145	5.769380153
146	5.769366035
147	5.768725434
148	5.768704922
149	5.768677315
150	5.768654707
151	5.768624854
152	5.768619565
153	5.768599841
154	5.768596749
155	5.768567232
156	5.768558155
157	5.768532074
158	5.768524231
159	5.768498729
160	5.768493876
161	5.768485665
162	5.768465606
163	5.768439995
164	5.768422283
165	5.768411445
166	5.768404817
167	5.768389872
168	5.768387406
169	5.768380207
170	5.768379294
171	5.768378539
172	5.768376103
173	5.768370441
174	5.768369967
175	5.768368828
176	5.768368507
177	5.768368245
178	5.768355965
179	5.768355635
180	5.76165723
181	5.761656903
182	5.761646233
183	5.761645092
184	5.761644798
185	5.761644221
186	5.761635162
187	5.761609364
188	5.761601271
189	5.761601028
190	5.761585643
191	5.761495584
192	5.761494722
193	5.761493504
194	5.761489151
195	5.7614889
196	5.761481418
197	5.761479111
198	5.754080345
199	5.754071521
